Listing Office - Office Name,List Agent - Agent Name,Price,Status,Address,City,MLS #,Property Type,State,County,Date - MLS List,Bedrooms - Total,Baths - Total,SqFtTotFn,DOM,Assessment Amount,Assessment Year,Price - Closed,Price - List,PicCount, Price - Original , Tax - Gross Amount ,Date - Closed,Lot - Acres,Garage Type,Year Built,Total Stories,Surveyed,Showing Service,Seasonal,Water Body Type,Water Frontage Length,Short Sale,Rooms - Total,Rented,Garage Capacity,Garage,Foreclosed/Bank-Owned/REO,Flood Zone,Easements,Development / Subdivision,Current Use,Covenants,Common Land Acres,Basement Access Type,Basement
Four Seasons Sotheby's Int'l Realty,Evan Pierce,"$235,000",CL,597 Bliss Road,Hartford,4471478,Single Family,VT,VT-Windsor,2/16/2016,3,2,"1,344",33,"$217,800",2014,"$235,000","$239,000",17,"239,000","5,267",5/20/2016,11,,1978,2,No,,No,,,No,5,,0,No,No,No,,,,Yes,,Walkout,Yes
Bassette Real Estate Group,John F Bassette,"$50,000",CL,1905 Main Street,Hartford,4472333,Single Family,VT,VT-Windsor,2/19/2016,0,2,"3,697",62,"$488,000",,"$50,000","$180,000",33,"180,000","7,440",6/3/2016,2.8,,1873,2,No,,No,,,No,5,,0,No,No,No,,,,Yes,,Interior,Yes
BHG Masiello Group/Quechee,Derek Cosentino,"$315,000",CL,81 Bentley Road,Hartford,4472193,Single Family,VT,VT-Windsor,2/19/2016,3,3,"2,509",42,"$349,700",2016,"$315,000","$319,000",22,"349,000","8,457",6/1/2016,1.4,Attached,1998,2,Yes,,No,,,No,8,,2,Yes,No,No,,QLLA,,Yes,,Interior,Yes
"The Clerkin Agency, P.C.",William Brown,"$237,500",CL,33 Westfield Drive,Hartford,4472357,Single Family,VT,VT-Windsor,2/20/2016,3,2,"1,300",51,,,"$237,500","$239,900",16,"239,900","5,889",5/23/2016,1.1,Attached,1986,1,Yes,,No,,,No,6,,2,Yes,No,No,,,,No,,Interior,Yes
BHG Masiello Group/Quechee,Diana Oleary,"$172,728",CL,98 High Street,Hartford,4472795,Single Family,VT,VT-Windsor,2/21/2016,3,2,"1,448",12,"$138,900",2016,"$172,728","$179,000",33,"179,000","3,329",6/17/2016,0.2,,1850,1.5,Yes,,No,,,No,6,,0,No,No,No,,QLLA,,Yes,,Interior,Yes
Century 21 Highview Realty,Steve Floyd,"$155,000",CL,100 Acorn Street,Hartford,4472461,Single Family,VT,VT-Windsor,2/22/2016,2,1,"1,008",11,"$179,000",,"$155,000","$148,000",10,"148,000","4,290",4/21/2016,0.12,,2001,1,Unknown,,No,,,No,5,,0,No,Yes,Unknown,,White River Junction,No,Unknown,,Walk-up,Yes
Coldwell Banker Redpath and Company,House Agent,"$115,000",CL,"76 Colonial Drive, #11",Hartford,4472723,Condo,VT,VT-Windsor,2/24/2016,2,2,960,5,"$129,100",,"$115,000","$119,900",9,"119,900","3,094",5/13/2016,0,,1989,2,Unknown,,No,,,No,5,,0,No,No,No,,Ledgestone Commons,No,Yes,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Linda Mayo,"$116,000",CL,133 Colonial Drive,Hartford,4473268,Condo,VT,VT-Windsor,2/27/2016,2,1,968,29,,,"$116,000","$118,000",8,"118,000","2,619",5/10/2016,0,,1986,1.75,Unknown,,No,,,No,4,,0,No,No,Unknown,,Oak Knoll,,Yes,,,No
Four Seasons Sotheby's Int'l Realty,Annette Hartley,"$132,000",CL,141 Dawn Drive,Hartford,4474046,Single Family,VT,VT-Windsor,2/29/2016,2,2,"1,120",81,"$141,300",,"$132,000","$131,500",11,"139,500","3,417",7/15/2016,0,,1990,2,Yes,,No,,,No,4,,0,No,No,Unknown,,,No,Yes,,Interior,Yes
Coldwell Banker LIFESTYLES - Hanover,Kirsten Elin,"$360,000",CL,1443 QUECHEE WEST HARTFORD RD,Hartford,4473433,Single Family,VT,VT-Windsor,2/29/2016,3,3,"2,258",255,,,"$360,000","$389,000",26,"415,000","6,655",1/6/2017,3,Detached,1851,1.75,Unknown,,No,,,No,7,,3,Yes,No,Unknown,,,No,Unknown,,Walk-up,Yes
Coldwell Banker Redpath and Company,House Agent,"$195,000",CL,2680 Hartford Avenue,Hartford,4473677,Condo,VT,VT-Windsor,3/1/2016,2,3,"1,682",17,,,"$195,000","$199,000",22,"199,000","4,399",7/13/2016,0,Attached,2004,2,Unknown,,No,,,No,6,,1,Yes,No,No,,Stoney Creek,No,Yes,6,Walkout,Yes
"The Clerkin Agency, P.C.",Lisa M ONeil,"$115,000",CL,"1295 Hartford Ave., Unit #5",Hartford,4473912,Condo,VT,VT-Windsor,3/2/2016,2,1,"1,090",29,,,"$115,000","$115,000",9,"115,000","2,547",6/30/2016,0,,1980,2,Unknown,,No,,,No,4,,0,No,No,No,,Stones Throw Condominiums,,Yes,,,No
RE/MAX Group One Realtors,Barney Griggs,"$210,000",CL,2680 Hartford Ave #36,Hartford,4474150,Condo,VT,VT-Windsor,3/3/2016,2,3,"1,780",79,,2011,"$210,000","$219,900",25,"219,900","4,372",7/1/2016,6,Attached,2006,3,Yes,,No,,,No,6,,1,Yes,No,Unknown,,Stony Creek,,Yes,,Walkout,Yes
"The Clerkin Agency, P.C.",Lisa M ONeil,"$94,000",CL,98 Nutt Ln,Hartford,4474588,Single Family,VT,VT-Windsor,3/4/2016,3,1,972,19,,,"$94,000","$119,000",16,"119,000","1,646",5/19/2016,0.2,Detached,1925,1.5,Unknown,,No,,,No,6,,1,Yes,No,Yes,,,,No,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$159,000",CL,141 HARPER SAVAGE LANE,Hartford,4475094,Single Family,VT,VT-Windsor,3/7/2016,1,1,"2,016",19,"$189,000",2015,"$159,000","$159,000",5,"159,000","4,529",5/12/2016,10.5,,1998,2,Yes,,No,,,No,4,,0,No,No,No,,WEST HARTFORD,,No,,Interior,Yes
Patrick E. Flanagan Real Estate,Patrick Flanagan,"$268,000",CL,81 Butternut Road,Hartford,4475030,Single Family,VT,VT-Windsor,3/8/2016,4,2,"1,344",16,"$249,100",2014,"$268,000","$265,000",17,"265,000","5,969",5/31/2016,0.25,Attached,2003,1,Unknown,,No,,,No,10,,2,Yes,No,No,,,,No,,Walk-up,Yes
Coldwell Banker Redpath and Company,House Agent,"$220,000",CL,43 Saunders Ave,Hartford,4475392,Single Family,VT,VT-Windsor,3/10/2016,4,2,"2,016",56,"$222,300",,"$220,000","$229,900",28,"239,900","5,327",6/24/2016,0.2,Attached,1940,1.5,Unknown,,No,,,No,8,,2,Yes,No,No,,,No,No,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$225,000",CL,7 Magnolia Circle,Hartford,4475414,Condo,VT,VT-Windsor,3/10/2016,2,2,"1,385",29,"$204,300",,"$225,000","$235,000",25,"235,000","4,941",6/30/2016,0.03,Attached,1996,1.5,Yes,,No,,,No,6,,1,Yes,No,No,,Sterling Springs,No,Yes,,,No
Four Seasons Sotheby's Int'l Realty,Melissa Robinson,"$128,000",CL,63 Oak Street,Hartford,4476108,Single Family,VT,VT-Windsor,3/11/2016,2,1,"1,212",9,,,"$128,000","$139,000",17,"139,000","3,841",6/27/2016,0.2,Attached,1967,1,Unknown,,No,,,Yes,7,,1,Yes,No,Unknown,,,,No,,Interior,Yes
"KCC Properties Realty, Inc.",Jolin Salazar Kish,"$255,000",CL,10 Sanctuary Circle,Hartford,4475841,Condo,VT,VT-Windsor,3/11/2016,3,2,"1,732",47,"$258,500",,"$255,000","$269,000",17,"269,000","6,195",6/22/2016,0.06,Attached,1996,1.5,Unknown,,No,,,No,7,,1,Yes,No,No,,,,Yes,,,No
RE/MAX Upper Valley,Deb M Roberts,"$87,000",CL,76 #27 Colonial Drive,Hartford,4476176,Condo,VT,VT-Windsor,3/14/2016,2,1,860,179,"$94,200",2014,"$87,000","$89,000",28,"119,900","2,257",11/4/2016,6,,1989,1,Yes,,No,,,No,5,,0,No,No,Unknown,,Ledgestone Common,No,Yes,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$99,000",CL,169 Woodhaven Drive,Hartford,4476067,Condo,VT,VT-Windsor,3/14/2016,2,2,"1,048",88,"$110,600",,"$99,000","$110,000",9,"110,000","2,675",6/29/2016,0,Carport,1985,2,Unknown,,No,,,No,5,,1,Yes,No,No,,Woodhaven,No,Yes,,,No
"The Clerkin Agency, P.C.",William Brown,"$180,000",CL,66 Spruce Street,Hartford,4476413,Single Family,VT,VT-Windsor,3/14/2016,2,1,"1,818",17,,,"$180,000","$189,900",23,"189,900","4,397",5/9/2016,0.5,Attached,1963,1,Unknown,,No,,,No,5,,1,Yes,No,No,,,,No,,Interior,Yes
Snyder Donegan Real Estate Group,Zoe Hathorn Washburn,"$239,000",CL,27 Haswell Trace,Hartford,4476140,Single Family,VT,VT-Windsor,3/14/2016,3,3,"2,093",268,,,"$239,000","$249,900",14,"315,000","7,110",2/10/2017,0.97,Attached,2003,1.5,Yes,,No,,,No,6,,2,Yes,No,No,,Quechee Lakes,No,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$90,000",CL,18 Lily Pond Road,Hartford,4476311,Condo,VT,VT-Windsor,3/15/2016,2,1,"1,008",21,"$133,600",,"$90,000","$99,000",10,"99,900","3,231",7/1/2016,0,,1985,2,Unknown,,No,,,No,5,,0,No,No,No,,Providence Park Condominiums,No,Yes,,Interior,Yes
Bassette Real Estate Group,John F Bassette,"$210,000",CL,110 Brookside Drive,Hartford,4476824,Single Family,VT,VT-Windsor,3/15/2016,3,2,"1,600",18,"$174,800",,"$210,000","$212,000",33,"212,000","4,189",5/20/2016,0.4,,1980,2,No,,No,,,No,6,,0,No,No,No,,,No,No,,,No
Coldwell Banker Redpath and Company,House Agent,"$215,000",CL,40 Lakeland Dr 10A,Hartford,4476616,Condo,VT,VT-Windsor,3/15/2016,3,4,"2,056",88,"$229,600",,"$215,000","$235,000",12,"235,000","5,502",7/6/2016,0,,1983,3,Yes,,No,,,No,7,,0,No,No,Unknown,,QLLA,No,Yes,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$152,500",CL,2 Sandcherry Way,Hartford,4476576,Condo,VT,VT-Windsor,3/16/2016,2,2,"1,019",44,"$182,700",2016,"$152,500","$159,900",16,"159,900","4,418",7/1/2016,0,,1998,1.5,Unknown,,No,,,No,6,,0,No,No,No,,,No,Yes,6,,No
Coldwell Banker Redpath and Company,House Agent,"$99,900",CL,7E 285 Woodhaven Drive,Hartford,4477065,Condo,VT,VT-Windsor,3/18/2016,2,2,"1,048",36,,,"$99,900","$99,900",24,"99,900","2,775",5/31/2016,0,Carport,1987,2,Unknown,,No,,,No,7,,1,Yes,No,No,,Woodhaven Manor Association,No,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$245,000",CL,180 Chestnut St,Hartford,4477768,Single Family,VT,VT-Windsor,3/22/2016,3,2,"1,692",7,"$182,700",,"$245,000","$249,000",22,"249,000","4,418",5/16/2016,0.44,Detached,1900,2,Unknown,,No,,,No,9,,2,Yes,No,Unknown,,,,Unknown,,Interior,Yes
"The Clerkin Agency, P.C.",William Brown,"$300,000",CL,637 Hartford Ave.,Hartford,4478974,Single Family,VT,VT-Windsor,3/28/2016,3,3,"1,828",42,,,"$300,000","$350,000",28,"350,000","5,100",6/8/2016,1.4,Detached,1880,1.75,Unknown,,No,,,No,7,,2,Yes,No,No,,,,Unknown,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$210,000",CL,64 Azalea Circle Unit 15,Hartford,4478815,Condo,VT,VT-Windsor,3/28/2016,2,2,"1,121",28,"$204,800",2011,"$210,000","$210,000",18,"210,000","4,953",5/13/2016,0,,1995,2,Yes,,No,,,No,5,,1,Yes,No,No,,,,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$220,000",CL,66 Wilder Street,Hartford,4478793,Single Family,VT,VT-Windsor,3/28/2016,3,2,"1,512",6,,,"$220,000","$220,000",23,"220,000","4,929",7/1/2016,0.23,Detached,1920,2,Yes,,No,,,No,7,,2,Yes,No,No,,,No,No,,Interior,Yes
BHG Masiello Group/Quechee,Kristine Hosmer,"$185,000",CL,86 Luce Meadow Rd,Hartford,4479857,Single Family,VT,VT-Windsor,4/1/2016,3,2,"1,212",38,,,"$185,000","$210,000",15,"229,900","4,501",6/30/2016,0.5,Detached,1971,1.5,No,,No,,,No,6,,1,Yes,No,No,,,No,No,,Walk-up,Yes
Four Seasons Sotheby's Int'l Realty,Susan Cole,"$240,000",CL,1898 Hartford Avenue,Hartford,4480485,Single Family,VT,VT-Windsor,4/4/2016,3,3,"1,590",40,,2011,"$240,000","$244,900",32,"244,900","3,886",7/12/2016,0.13,Detached,1900,2,Unknown,,No,,,No,8,,2,Yes,No,Unknown,,,,No,,Walk-up,Yes
Coldwell Banker Redpath and Company,House Agent,"$214,500",CL,1536 Christian Street,Hartford,4480859,Single Family,VT,VT-Windsor,4/5/2016,3,1,"1,250",43,,,"$214,500","$219,900",27,"227,500","4,576",7/15/2016,0.7,Attached,1950,1,Yes,,No,,,No,5,,1,Yes,No,No,,,No,No,,Interior,Yes
www.EntryOnly.com,Jason Saphire,"$221,500",CL,171 Summer Street,Hartford,4480659,Single Family,VT,VT-Windsor,4/5/2016,3,2,"1,485",3,,,"$221,500","$229,000",12,"229,000","3,494",5/30/2016,0.3,,1890,2,Unknown,,No,,,No,8,,0,No,No,No,,,,No,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$285,500",CL,114 Seniors Way,Hartford,4481099,Single Family,VT,VT-Windsor,4/6/2016,3,3,"1,922",38,"$312,200",,"$285,500","$279,999",21,"285,000","7,550",7/14/2016,1.27,Attached,2004,2,Unknown,,No,,,No,7,,2,Yes,No,No,,,,No,,Interior,Yes
Coldwell Banker LIFESTYLES - Hanover,Jeffrey H Batchelder,"$290,000",CL,8 Sanctuary Circle,Hartford,4481269,Condo,VT,VT-Windsor,4/7/2016,3,3,"1,841",145,"$274,100",2016,"$290,000","$299,900",33,"299,900","6,629",10/14/2016,0,Attached,1996,1,Unknown,,No,,,No,7,,2,Yes,No,No,,Sterling Springs,No,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$185,000",CL,89 Truell Road,Hartford,4481686,Single Family,VT,VT-Windsor,4/8/2016,3,2,"1,548",16,,,"$185,000","$194,500",21,"194,500","4,963",6/30/2016,0.28,Attached,1995,1,Unknown,,No,,,No,6,,0,No,No,No,,,No,No,,Walkout,Yes
BHG Masiello Group/Quechee,Derek Cosentino,"$305,000",CL,378 Marsh Family Road,Hartford,4483326,Single Family,VT,VT-Windsor,4/14/2016,3,3,"2,472",253,"$325,000",2017,"$305,000","$335,000",15,"349,000","7,948",3/21/2017,1.1,Attached,2004,2,Yes,,No,,,No,9,,2,Yes,No,No,,QLLA,No,Yes,,Interior,Yes
BHG Masiello Group/Quechee,Mary Paino,"$193,500",CL,155 Hard Road,Hartford,4483201,Single Family,VT,VT-Windsor,4/15/2016,3,3,"1,624",117,"$200,900",,"$193,500","$189,500",13,"189,000","4,814",9/30/2016,1,Detached,1986,1,Unknown,,No,,,No,7,,2,Yes,No,Unknown,,QLLA,No,Yes,,,No
RE/MAX Upper Valley,Jeffery T Flynn,"$200,000",CL,176 Waterman Hill Road,Hartford,4483193,Single Family,VT,VT-Windsor,4/15/2016,4,6,"5,126",196,,,"$200,000","$299,900",15,"359,900","11,944",11/23/2016,2.55,,1798,1.5,Unknown,,No,,,No,12,,0,No,No,No,,,,Unknown,,Interior,No
Quechee Lakes Real Estate Center,Herb Hart,"$350,000",CL,31 Catamount Road,Hartford,4483505,Condo,VT,VT-Windsor,4/17/2016,3,4,"2,160",175,,,"$350,000","$379,000",21,"379,000","7,357",10/31/2016,,,2002,3,Yes,,No,,,No,7,,0,No,No,No,,,,Yes,,Walkout,Yes
RE/MAX Upper Valley,Shane MacDonald,"$120,750",CL,285 WoodHaven Drive,Hartford,4483659,Condo,VT,VT-Windsor,4/18/2016,2,2,"1,048",31,,,"$120,750","$124,500",14,"129,000","2,775",7/22/2016,0,Carport,1987,2,Unknown,,No,,,No,7,,1,Yes,No,No,,,,Yes,,,No
Four Seasons Sotheby's Int'l Realty,Melissa Robinson,"$240,000",CL,368 Lower Hyde Park Ave,Hartford,4483682,Single Family,VT,VT-Windsor,4/18/2016,3,3,"2,830",42,"$232,600",2015,"$240,000","$238,999",21,"238,999","5,625",7/29/2016,0.56,Detached,1964,1,No,,No,,,No,10,,2,Yes,No,No,,,No,No,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$159,000",CL,49 Fieldstone Way,Hartford,4483911,Condo,VT,VT-Windsor,4/19/2016,2,1,"1,010",1,"$156,400",,"$159,000","$159,000",22,"159,000","3,782",6/21/2016,0,Detached,1990,1,Yes,,No,,,No,4,,1,Yes,No,No,,Brookemeade Circle Condo 10C,,Yes,8,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$155,000",CL,55 Heather Drive,Hartford,4484190,Condo,VT,VT-Windsor,4/20/2016,2,2,"1,243",6,"$163,900",,"$155,000","$149,900",16,"149,900","3,928",8/15/2016,0,Carport,1989,2,Unknown,,No,,,No,5,,1,Yes,No,No,,Hemlock Ridge,No,Yes,,,No
Four Seasons Sotheby's Int'l Realty,Berna Rexford,"$295,000",CL,2090 Quechee Main Street,Hartford,4484284,Single Family,VT,VT-Windsor,4/20/2016,3,4,"2,644",21,"$307,800",,"$295,000","$310,000",15,"310,000","7,444",6/15/2016,0.23,,2008,2,No,,No,,,No,9,,0,No,No,No,,,,No,,Walkout,Yes
Coldwell Banker LIFESTYLES - Hanover,Lisa Baldwin,"$102,000",CL,355 Lyman Batcheller,Hartford,4484508,Condo,VT,VT-Windsor,4/21/2016,2,2,"1,352",126,,,"$102,000","$109,000",22,"109,000","2,598",11/30/2016,0,,1978,2,Yes,,No,,,No,4,,0,No,No,No,,Quechee Lakes,No,Yes,,,No
Quechee Lakes Real Estate Center,Herb Hart,"$48,000",CL,9E Old Quechee Road,Hartford,4485900,Condo,VT,VT-Windsor,4/22/2016,2,2,"1,063",6,,,"$48,000","$49,000",1,"49,000","1,644",6/27/2016,0,,1978,1,Yes,,No,,,No,5,,0,No,No,No,,,,Yes,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$100,500",CL,235 Depot Street,Hartford,4484815,Single Family,VT,VT-Windsor,4/22/2016,2,1,"1,021",52,,,"$100,500","$99,000",15,"106,000","2,322",8/5/2016,0.23,,1960,1,Unknown,,No,,,No,5,,0,No,No,No,,,,No,,Interior,Yes
Quechee Lakes Real Estate Center,Herb Hart,"$230,000",CL,1140 Murphys Road DR7D,Hartford,4484921,Condo,VT,VT-Windsor,4/22/2016,3,3,"2,566",120,,2015,"$230,000","$229,000",15,"229,000","5,974",10/7/2016,0,,1983,3,Yes,,No,,,No,8,,0,No,No,No,,,,Yes,,Interior,Yes
"The Clerkin Agency, P.C.",Lisa M ONeil,"$145,000",CL,159 Hazen St,Hartford,4485291,Single Family,VT,VT-Windsor,4/25/2016,3,2,"1,776",162,,,"$145,000","$154,900",21,"164,000","3,197",12/5/2016,0.2,Attached,1954,1.75,Unknown,,No,,,No,6,,1,Yes,No,Unknown,,,,No,,Interior,Yes
RE/MAX Upper Valley,Shane MacDonald,"$209,000",CL,58 Winston Drive,Hartford,4602012,Condo,VT,VT-Windsor,4/29/2016,3,4,"2,100",0,,,"$209,000","$209,000",1,"209,000",,4/29/2016,0,Attached,2007,3,Yes,,No,,,,6,,1,Yes,,No,,,,Yes,,,Yes
Coldwell Banker Redpath and Company,House Agent,"$175,000",CL,122 Mercy Strong Lane,Hartford,4486851,Single Family,VT,VT-Windsor,5/2/2016,4,2,"2,015",4,"$188,900",,"$175,000","$179,000",15,"179,000","4,527",6/30/2016,0.84,Detached,1985,2,Unknown,,No,,,No,8,,2,Yes,No,No,,,No,Yes,,Interior,No
Fidelity Real Estate Inc.,Sadie Simpson,"$200,000",CL,58 Juniper Drive,Hartford,4487345,Condo,VT,VT-Windsor,5/3/2016,3,3,"1,529",14,"$190,400",2015,"$200,000","$205,000",16,"205,000","4,563",7/11/2016,0,Carport,1989,2,Unknown,,No,,,No,5,,1,Yes,No,No,,Hemlock Ridge,,Yes,,,No
"The Clerkin Agency, P.C.",William Brown,"$130,000",CL,92 Pleasant View Terrace,Hartford,4487850,Single Family,VT,VT-Windsor,5/5/2016,2,2,"1,260",263,,,"$130,000","$149,900",19,"179,900","4,000",2/10/2017,0.2,,1963,1,No,,No,,,No,6,,0,No,No,No,,,,Unknown,,,No
Quechee Lakes Real Estate Center,Charles Bacon,"$115,000",CL,807 Murphys Road 4B,Hartford,4488228,Condo,VT,VT-Windsor,5/6/2016,2,2,"1,092",203,"$129,000",2015,"$115,000","$124,000",25,"139,000","3,096",12/8/2016,0,,1976,1.5,Yes,,No,,,No,5,,0,No,No,Unknown,,Fairway Village,No,Yes,0,,No
Four Seasons Sotheby's Int'l Realty,Linda Mayo,"$245,000",CL,706 Chandler Road,Hartford,4488682,Single Family,VT,VT-Windsor,5/9/2016,4,2,"2,160",29,,,"$245,000","$255,000",23,"255,000","5,707",7/12/2016,0.4,Detached,1950,2,Unknown,,No,,,No,8,,2,Yes,No,Unknown,,,,Unknown,,Interior,Yes
Quechee Lakes Real Estate Center,Charles Bacon,"$230,000",CL,805 Murphy Road DP5A,Hartford,4490251,Condo,VT,VT-Windsor,5/15/2016,4,3,"2,446",156,"$240,700",,"$230,000","$259,000",30,"259,000","5,768",12/27/2016,0,,1983,1.5,Yes,,No,,,No,9,,0,No,No,No,,,No,Yes,,Walkout,Yes
RE/MAX Group One Realtors,Bobbi Dagger,"$87,000",CL,976 C4 Hard Road,Hartford,4490736,Condo,VT,VT-Windsor,5/16/2016,2,3,"2,086",65,"$132,200",2016,"$87,000","$95,000",32,"99,900","3,168",10/21/2016,0,,1972,2,No,,No,,,No,7,,0,No,No,No,,Birchwood Condos,No,No,,Walkout,Yes
"The Clerkin Agency, P.C.",Lisa M ONeil,"$100,000",CL,1188 Maple Street,Hartford,4491024,Condo,VT,VT-Windsor,5/16/2016,2,2,"1,024",215,,,"$100,000","$127,000",19,"139,000","3,436",1/25/2017,6,Under,2005,2,Unknown,,No,,,No,5,,1,Yes,Yes,Yes,,Centennial Riverside Condos,,Yes,1,Interior,Yes
BHG Masiello Group/Quechee,Mary Paino,"$68,000",CL,860 Murphy's Road WV3C,Hartford,4491104,Condo,VT,VT-Windsor,5/17/2016,2,2,"1,100",253,"$76,900",,"$68,000","$76,000",19,"76,000","1,843",3/31/2017,0,,1982,2,Unknown,,No,,,No,5,,0,No,No,No,,QLLA / Windsor Village,No,Yes,,,No
Quechee Lakes Real Estate Center,Charles Bacon,"$500,000",CL,423 TAFT FAMILY ROAD,Hartford,4490764,Single Family,VT,VT-Windsor,5/17/2016,5,5,"5,268",98,"$708,100",,"$500,000","$675,000",36,"675,000","17,125",11/15/2016,4.3,Attached,2006,2,Yes,,No,,,No,10,,2,Yes,No,No,Yes,QUECHEE LAKES,,Yes,,Walkout,Yes
Quechee Lakes Real Estate Center,Herb Hart,"$99,000",CL,203 LYMAN BATCHELLER ROAD #11D,Hartford,4491635,Condo,VT,VT-Windsor,5/18/2016,3,3,"1,504",71,,,"$99,000","$107,000",12,"107,000","2,820",8/29/2016,0,,1978,2,Yes,,Unknown,,,No,6,,0,No,No,No,,,,Yes,,,No
Four Seasons Sotheby's Int'l Realty,Leila Tarantelli,"$180,000",CL,33 Third Avenue,Hartford,4491014,Single Family,VT,VT-Windsor,5/18/2016,4,2,"1,764",164,,,"$180,000","$185,000",35,"220,000","3,795",12/14/2016,0.21,Detached,1900,2.5,Yes,,No,,,No,8,,1,Yes,No,No,,,,No,,Interior,Yes
Patrick E. Flanagan Real Estate,Patrick Flanagan,"$115,000",CL,2166 Woodstock Road,Hartford,4492269,Single Family,VT,VT-Windsor,5/23/2016,3,2,"1,128",49,"$141,900",2015,"$115,000","$130,900",17,"130,900","3,400",9/19/2016,2.45,Detached,1944,1,Yes,,No,,,No,6,,2,Yes,No,Unknown,,,,Unknown,,Interior,Yes
Martha E. Diebold Real Estate,Martha E Diebold,"$224,500",CL,44 Azalea Circle #10,Hartford,4492589,Condo,VT,VT-Windsor,5/23/2016,2,2,"1,013",76,"$203,400",2015,"$224,500","$230,000",16,"245,000","4,919",10/26/2016,0,,1994,1.5,Yes,,No,,,No,7,,0,No,No,No,,Hemlock Ridge,No,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$190,000",CL,1770 Hartford Avenue,Hartford,4493239,Single Family,VT,VT-Windsor,5/24/2016,3,1,"1,940",31,"$215,500",2015,"$190,000","$199,000",22,"199,000","5,212",8/15/2016,0.14,Detached,1910,2,Unknown,,No,,,No,9,,2,Yes,No,Unknown,,,,Unknown,,Interior,Yes
"Quechee Associates, Inc",Paul West,"$290,000",CL,246 Fletcher Lane,Hartford,4493268,Single Family,VT,VT-Windsor,5/26/2016,5,4,"2,464",150,,2015,"$290,000","$298,000",18,"298,000","7,467",1/6/2017,1.14,Detached,2005,2,Unknown,,No,,,No,8,,2,Yes,No,Unknown,,,,Yes,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$237,000",CL,55 BRICK HOUSE LANE,Hartford,4493592,Condo,VT,VT-Windsor,5/27/2016,2,2,"1,716",5,"$231,200",2015,"$237,000","$235,000",15,"235,000","5,591",8/15/2016,0,Attached,2004,2,Unknown,,No,,,No,5,,1,Yes,No,Unknown,,,No,Yes,,Interior,Yes
Bean Group / Vermont,Mark Roden,"$190,500",CL,25 Ridge View Road,Hartford,4493883,Single Family,VT,VT-Windsor,5/28/2016,3,2,"1,398",119,,,"$190,500","$199,500",34,"209,000","4,361",10/21/2016,0.3,Under,1957,1,Unknown,,No,,,No,7,,1,Yes,No,No,,,No,Unknown,,Interior,Yes
"The Clerkin Agency, P.C.",Lisa M ONeil,"$196,000",CL,1829 Hartford Avenue,Hartford,4494605,Single Family,VT,VT-Windsor,5/31/2016,3,2,"1,296",6,,,"$196,000","$189,000",29,"189,000","3,937",8/5/2016,0.16,,1886,1.75,Yes,,No,,,No,6,,0,No,No,No,,,,No,,Interior,Yes
Fidelity Real Estate Inc.,Sadie Simpson,"$100,000",CL,46A Barrister,Hartford,4495258,Condo,VT,VT-Windsor,6/3/2016,1,1,544,7,,2016,"$100,000","$110,000",8,"110,000","2,629",8/17/2016,0,,2005,1,Yes,,No,,,No,3,,0,No,No,No,,Silver Brook Common,,Yes,,Interior,Yes
BHG Masiello Group/Quechee,Mary Paino,"$118,500",CL,247 Woodhaven Dr,Hartford,4495888,Condo,VT,VT-Windsor,6/7/2016,2,2,"1,048",64,"$115,800",,"$118,500","$119,750",24,"125,800","2,775",10/14/2016,0,Carport,1987,2,Unknown,,No,,,No,5,,1,Yes,No,No,,Woodhaven Manor,,Yes,,,No
KW Vermont,Vanessa Allen,"$71,000",CL,253 Old Quechee Road,Hartford,4496216,Condo,VT,VT-Windsor,6/8/2016,2,3,"1,063",226,"$71,300",2016,"$71,000","$74,000",10,"79,000","1,709",2/27/2017,0,,1978,1,Yes,,No,,,No,4,,0,No,No,No,,QLLA,No,Yes,"5,200.00",Interior,Yes
KW Vermont,Vanessa Allen,"$95,000",CL,66 Kingfisher Road,Hartford,4496584,Condo,VT,VT-Windsor,6/9/2016,2,3,"1,670",134,"$213,400",2014,"$95,000","$115,000",13,"115,000","3,978",10/31/2016,0,,1986,1.75,Yes,,No,,,No,5,,0,No,No,No,,Quechee Lakes,,Yes,"5,200.00",Walkout,Yes
